Link, Anchor Text
"https://www.facebook.com/BreakingNews/?ref=nf", 
"https://www.facebook.com/BreakingNews/?fref=nf", 
"https://www.facebook.com/BreakingNews/posts/10153354044252303", Yesterday at 9:35pm
"https://www.facebook.com/politico/", POLITICO
"http://www.breakingnews.com/topic/2016-us-elections/", http://www.breakingnews.com/topic/2016-us-elections/
"http://www.politico.com/blogs/2016-gop-primary-live-updates-and-results/2016/04/ted-cruz-john-kasich-team-up-222377#ixzz46nllyBOw", 
"http://l.facebook.com/l.php?u=http%3A%2F%2Fwww.politico.com%2Fblogs%2F2016-gop-primary-live-updates-and-results%2F2016%2F04%2Fted-cruz-john-kasich-team-up-222377%23ixzz46nllyBOw&h=5AQEmGdM4&enc=AZMXW0Kn7QftZDS-gnIheoAHN0VbHpvH_QXZM9KN5KKx2HhR-aGpO_lJ6MInMj_DCxqrPj6ZvcA4RJK0W5rkS3OUiR_MSa9kwJW3VhK-Eel7UFnKazQKDOXsv6sGpYqvQPiYQxmrleEsFi4uFLkX1j8uz0yeoUt2zxKTV1749hETiu7C9qbNdekD6srBAwV0__NV_W-5eafS7KNTjmJUZDUT&s=1", Cruz, Kasich coordinate in new anti-Trump effort
"http://l.facebook.com/l.php?u=http%3A%2F%2Fwww.politico.com%2Fblogs%2F2016-gop-primary-live-updates-and-results%2F2016%2F04%2Fted-cruz-john-kasich-team-up-222377%23ixzz46nllyBOw&h=oAQEf9sfYAQF9370315CzxBL86MM6KBnz1B9LDZyfSCtbDw&enc=AZOfbEABXBzpnx3eApIcSJ4e-ZWVS7ZYGMGpgvpzp25sOwMofKI8mLOvoW93ASh7yCzKjA0I_0GlOuSusgFjzmhJT28mRnzCEEYGi3bQ2tMC80jcDESGDL40l2YX3k1Ofl2PsgmBZOgCqOe1mCeriARkn0YkrtvHL-SptnBOUTJdbeioOn-ZDFREfac-4G23N7G2ujoeJYImyVftTgoBq_Eg&s=1", 
"https://www.facebook.com/BreakingNews/posts/10153354044252303?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 88 Comments
"https://www.facebook.com/shares/view?id=10153354044252303&av=100000246601123", 40 Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10153354044252303&av=100000246601123", 373373
"https://www.facebook.com/yahoonews/?ref=nf", 
"https://www.facebook.com/yahoonews/?fref=nf", 
"https://www.facebook.com/yahoonews/posts/10154237728046037", 6 hrs
"http://l.facebook.com/l.php?u=http%3A%2F%2Fyhoo.it%2F1rdspER&h=-AQFiVoL4AQGihO9FafhRko6q_dceV04Hr1lXEYhCP5SW7Q&enc=AZOnT_R0EsC5RxGPB2P-0StnPtciLl19rOmphX9a6qtvZFBhs6ncej6ou4Ss9NI1S_2V9VOetJe9MFzTWlu4NpNWhkxjr1Z1mo_-yP5ayeSQNe_ybkx6A49wxW9RfXO5xypgRfWtWUWuHvwW82G7GiZzTZjj-GnfnBgCsc1jbGBrEhcX2pSWl-RG1pIfkuq_d22xMQgwnqdbv_XpqKQ-sO2c&s=1", http://yhoo.it/1rdspER
"http://l.facebook.com/l.php?u=http%3A%2F%2Fyhoo.it%2F1rdspER&h=DAQFf2wMm&enc=AZOAGvApGDUhnYPDgamzzRCMD0TY1NTzFiU9oHnrtf5DRqVooZ5IjP5DnCayolVZUHpOheazGLU1yaITu-X3QnAvWa-gPnAsPjqGJg2aFWnUdFnS9nxy2i-Ho4qvU81i5H_KoHUnD0ogoj0TiwFXMLPnS7NXDHU72DMuz7IItC7kt0eE2MiFq1_EJzIrrzu4UB1RfMrKRQnPBNM_aDrjS5K-&s=1", 
"http://l.facebook.com/l.php?u=http%3A%2F%2Fyhoo.it%2F1rdspER&h=RAQF99pQI&enc=AZMQazt4hOJdDBi1EWEpH-NNuodbuh-Ytpso5wvwkubFS0RWbwIUCdFuv2XfSeJ3zRQ1CtonVBeEwiv58wWElnf67e0xWyjnHXZ_2XznHiP8-intq-bod8EHA58m7ZD-sqn1_8eRMzvr4-j-mMWRaKaq0CA-A6dvlQ3DU6opVxB3QZRqvfYBMtENg429smPxAyePFwHJea4BXbSmoWtxBr7w&s=1", Transgender rights: Where 2016 candidates stand on bathroom bills
"http://l.facebook.com/l.php?u=http%3A%2F%2Fyhoo.it%2F1rdspER&h=yAQH6Q8dgAQFrnz2uFxPVh-iU7wigkCmxtoaweFQgPKuCbg&enc=AZPVfUv22rg711dHj9IaG8J2DiK1Dklx-Kg1pBxy9ARgYMwh8rmrHiJrqLPq5kvy1Ne1OehQowucRRD3SA9gr6sMyrhodxCDZ7SpgGWL4QH2rYhn8KYgwhx0QdIHMNpDSrXdZzUS0RPNWrSM_T3E0cPqE9n5w2wS-Gp5sLQ-oiBaNVl9YlHNIwL0tjKAVRf2OnsoNxoT8v-QvTyjTm-fp3cr&s=1", 
