Link, Anchor Text
"https://www.facebook.com/refinery29/?ref=nf", 
"https://www.facebook.com/refinery29/?fref=nf", 
"https://www.facebook.com/refinery29/posts/10154186072602922", April 21 at 12:00am
"http://r29.co/2390maE", 
"http://l.facebook.com/l.php?u=http%3A%2F%2Fr29.co%2F2390maE&h=0AQG-mXeM&enc=AZOKOlUH9NiVPTOd90S8hsBVxOZBGLIjAPNifJOHc_zymh2BB_nvI_jc48cDjr4sqZOweK1cb3PHGSiTArF-1WbtF8fnf9v9lq1KpaZygL7XLv9SmwwdansMQsZdCLlLt75HgFtpGODXIN0BGLT9b-fRql7TNNTlEWrguXCi23AtuyNTqSEB5qGfHwSLO1A1uQY1BxMdiCwVYJpFoN6polJg&s=1", The Birth Control Side Effects No One Talks About
"http://l.facebook.com/l.php?u=http%3A%2F%2Fr29.co%2F2390maE&h=QAQHCIYsmAQHQYHSYaXcDA9Zj_jqr3LdTGG1AfBaWbccG-w&enc=AZP_Ms0ZKgQrk5nsy6rNG8krFI7685ASbyAuCaJX1mqo_qKzIgD8jzTu4aWi_DaczyrDVdx81sZZHqyQxAXRAuyoBe7QvZ87aiUu47V850YJ3vXAP3lZ3osWcvIocNromC4fzpSxAo8JwrBs8zMgmBkd4KybXdCF5e2CFwFFsc4__LawSUC237--ObwJac_isG6iFJsUYPhQAR9gPInNr1Er&s=1", 
"https://www.facebook.com/refinery29/posts/10154186072602922?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 7 Comments
"https://www.facebook.com/shares/view?id=10154186072602922&av=100000246601123", 74 Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10154186072602922&av=100000246601123", 134134
"https://www.facebook.com/abcnews/?ref=nf", 
"https://www.facebook.com/abcnews/?fref=nf", 
"https://www.facebook.com/abcnews/posts/10153935765583812", December 1, 2015
"http://l.facebook.com/l.php?u=http%3A%2F%2Fabcn.ws%2F1MTPbri&h=ZAQGGkCIJAQHJnsf14e1y54uiVfz73Xu9IQUxACkX7FiYcg&enc=AZO6GfFDn1XC7_pn938NC_nju0hKclw9cSavSfCQN6FqNWGGYY37ZXgcXvWZrHJQBM-lpaLvJQCU-I1Cx-d6356E48BTZOyNdaSEccR_HILfsddYlqRdxoOC2xfLoR57PjAwvzoMb_TWPbje1ghW_hLgnbWxAEsW-rULwFN616Tkv2R1XtY8Pzpq7-XTwsX47yWYD5qT4tKqzLE4UcTKWT5-&s=1", http://abcn.ws/1MTPbri
"http://abcn.ws/1MTPbri", 
"http://l.facebook.com/l.php?u=http%3A%2F%2Fabcn.ws%2F1MTPbri&h=WAQFQbAzI&enc=AZMwboKTDrQ1dXbGZ3qFR_zSDu_FjtVzue0LRBkBPAqNEX46jMo3_7ONnnD1g0LhTL-IpinQ4IHbZk_UjipqdDL6iQdWozMMKqh6TnfOLdJFzOkSLQNxbbc-k-FugCs__ystgSLt86lkh7VJ3GkeJYfdnX0iSxgVGb4j_jwtIS9JLqy2Ae4rsGNEowSE1zD_BsnWht8qpJAMxt6FoxQYmlWr&s=1", Cruz Defends Birth Control With No 'Rubber Shortage' Crack
"http://l.facebook.com/l.php?u=http%3A%2F%2Fabcn.ws%2F1MTPbri&h=AAQG-kR3KAQHCAHfBYrrB-1ZXQ87_htxpDLd9fgehKwvxQA&enc=AZMEfNDxbg7yr_r-lzt_rm6FDHLMyWW5OEfS59wFh14q1iz0xoba36yoRgffK2c82QFzxoFyXr5XalgRmxt5NCSF7HFpGMK7FblJ2IBExhq7BJ_oGe1GeLItpViHQxZjxIVO3Hi-LRtMudBCP2xVSyPvqIfk_pk7YPpu-C46hxel2QuJB_25SMH--FYHL9VudEpUUUdfiuDVM8OGLcxlxW8i&s=1", 
"https://www.facebook.com/abcnews/posts/10153935765583812?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 783 Comments
"https://www.facebook.com/shares/view?id=10153935765583812&av=100000246601123", 465 Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10153935765583812&av=100000246601123", 1.5K1.5K
"https://www.facebook.com/CBSNews/?ref=nf", 
"https://www.facebook.com/CBSNews/?fref=nf", 
"https://www.facebook.com/CBSNews/posts/10153318768350950", January 4
"http://l.facebook.com/l.php?u=http%3A%2F%2Fcbsn.ws%2F1n0Td9f&h=wAQGU-mg3&enc=AZOmxr-zZzvIYv5msk80nbqX1l89oLykxUTCUliQwA_OsD6nOLKwBGDuMHP3p4La4T-2rO2KnFG18zvvmrNwt3hWfXvUQdoTf_jGZ_fWYCGeAY26B9RnZ4TEeKMtfOT-6nDJ7xhhq-I0EP2arnXEzpjMZsn0UND5YYUa6iKXECP7y92YlfWkM2vO8kohfgBfSxBk5y3pIuHDH2rAQ75iTqVN&s=1", 
"http://l.facebook.com/l.php?u=http%3A%2F%2Fcbsn.ws%2F1n0Td9f&h=sAQFdemNJ&enc=AZOJxdq8D3hJ2pSkzDA_ukim_wT2pLL8-VgcwZC5AW7dCUN4gpxMpg9rUiSernjuC1lmoNiGyh1ozyAgDPt8llROkRVYiXMRs2Q41hsP6s-VzKK7vFusiZro1gzfbLq47h21JTTQL6XMw2YmtfeQTS9Vxx8IS5JTYE5wWM_OoKG1ESSHA0YyEhxBdmikCuYnJT3HETiiaCd9lTM-gfI7OCbt&s=1", Should birth control pills be available without a prescription?
"http://l.facebook.com/l.php?u=http%3A%2F%2Fcbsn.ws%2F1n0Td9f&h=3AQFZm33aAQHcHAjh1ra5J1yQnQD8gLe0v2J1ZZQEdHFMQQ&enc=AZONAQRkF7RM9MB9STps8kUcA1RFSYGG0RHicgtGBruQlOD_rg7JhJsAVU5H7esuc-bKPa6-QIoMW9DOtu_uy0nRCEHrwerW7OcB4n_mS4edNoyMiodDle7mhk27ENVDZrV3T64Qd7xnxtlb22SD8I8DXqKGGoijiiBUllR9IqDjypeaNImZoFnfjzQbAOFnv8TmQNrOmF1pxPT5JQ53N-6c&s=1", 
"https://www.facebook.com/CBSNews/posts/10153318768350950?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 893 Comments
"https://www.facebook.com/shares/view?id=10153318768350950&av=100000246601123", 792 Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10153318768350950&av=100000246601123", 5.5K5.5K
"https://www.facebook.com/SteveHarvey/?ref=nf", 
"https://www.facebook.com/SteveHarvey/?fref=nf", 
"https://www.facebook.com/SteveHarvey/posts/1662719320655593", February 8
"http://l.facebook.com/l.php?u=http%3A%2F%2Fwww.iamsteveharvey.com%2Fvision-board-feeder%2F2016%2F2%2F8%2Fmale-birth-control&h=pAQEmzeZX&enc=AZOPrmq0KtNAQoP3BydeJRRlnFKmbUJ-6aCJFeWBTLgTktoabFu3j0r1FiJRsmsR30rD2Ry1ByECyinhUu0OEOWqSOI8m_w6Jge1-t1HkP8GE4erRTRut4-E1F6VGIJrAIqSLpE_ZU6uBO5tq9YuWtlaBAU_M-x3N98693olQUaLhGMUmOOKbklFG_OwERQB_O5ocUFU4xHVLEA9fzB_vRL5&s=1", 
"http://l.facebook.com/l.php?u=http%3A%2F%2Fwww.iamsteveharvey.com%2Fvision-board-feeder%2F2016%2F2%2F8%2Fmale-birth-control&h=QAQHCIYsm&enc=AZMB-rbnoIgC3Y68-P5yxSqPUKajAawVxBAScWF7QSs2DW8T8V5JlWJXsmBbKzCkT8AWkr9zxFFspSuYZoJbF33QsmyHZvp9I6RAs_qk33_EWmwz-UBaD69K4Zk7aGvzpbuTQdRJpYEyJL113pv72Ow10lwR2PnhZMHPYe2IFFKJ2yiHGG-DxOtInGhO0UTxjdFhwBTDJ4S93cJvgdjElobk&s=1", Male Birth Control
"http://www.iamsteveharvey.com/vision-board-feeder/2016/2/8/male-birth-control", 
"https://www.facebook.com/SteveHarvey/posts/1662719320655593?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 197 Comments
"https://www.facebook.com/shares/view?id=1662719320655593&av=100000246601123", 587 Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=1662719320655593&av=100000246601123", 1.8K1.8K
"https://www.facebook.com/mariam.soliman.507?fref=nf", 
"https://www.facebook.com/mariam.soliman.507", 
"https://www.facebook.com/mariam.soliman.507/posts/10154679230988508", March 14
"http://l.facebook.com/l.php?u=http%3A%2F%2Fmobile.nytimes.com%2F2016%2F03%2F13%2Fworld%2Fmiddleeast%2Fto-maintain-supply-of-sex-slaves-isis-pushes-birth-control.html%3F_r%3D1%26referer%3Dhttp%253A%252F%252Fm.facebook.com&h=gAQGCZ2OK&enc=AZNyovs4PWSa4rekRd6qsccUQEFWvuLYFJMYBKNSOtH8QAlPF_2dBdsHMb6zGopIkvjFGymOc10Z4VJWaYX-KyvKYVh2KNanJWX3CFp-ojGep7gd4iKmew_rNa54SwpU9Xh9fv61eVydxEzXyDjF3zcS6E-d3lZM7oub2vptibEJx3Pqh8PAKUXKzihzORDWTaApn0xoUYZVS9237jGtgQbk&s=1", 
