Link, Anchor Text
"https://www.facebook.com/realsimple/?ref=nf", 
"https://www.facebook.com/realsimple/?fref=nf", 
"https://www.facebook.com/realsimple/posts/10153665494893163", April 18 at 6:00am
"http://l.facebook.com/l.php?u=http%3A%2F%2Fbit.ly%2F1Nr8AhG&h=pAQEmzeZX&enc=AZPL0hyrzP8kkSfPUartO0NM-u451MR_IVZeKKhrgR3XHO4Jqehyvkz4_WF9Ws_CBOnM0BUtIZR45EMcvzKjK8LG1U0x7TOisqX_Ckh94LY8hFC8oPeMr1MRjCssEtjtmpH87E0Ytq-LFi3pNWilLBn1a5iy6XWr4L-x5h8grJcyAcPgLiuvXy5hWu3Wo2uiDl4fJeXBSiH9fHBlV3Tswd5-&s=1", 
"http://l.facebook.com/l.php?u=http%3A%2F%2Fbit.ly%2F1Nr8AhG&h=KAQE2GOTQ&enc=AZOnK8gvLKJ_P0eP4OjuMaCNayubAQt71xVs4igb-gqehfa9E5f6ovJ9_xKIAXQ7yFcT6RfKicJtAv4FLpgA0QrX3kVTY3xFsgcV3OmOboh6e8jFFo_VY04-t-8rvtc4Jva0wqpnWcdkQ79rO3S2QNBaj8neJ8wn2l_29bxL9WFrxCmP7dt6fYHvZr_YhpFgb4apYkBx_vQRy_-CB3RaZ3o6&s=1", How to Talk to Kids About College Costs
"http://l.facebook.com/l.php?u=http%3A%2F%2Fbit.ly%2F1Nr8AhG&h=xAQEeKvo2AQFSIplLlGTZ7Ey34uR_UImt_jdmf-JPm0fAzA&enc=AZNzwIA4UjZ6rOZZq0zmMMFgZzmeNCJFXD6sb6fKhoaBe6IYnF-iH00mTAuJ-o58hEDf-RRF-YpBONjPvshph2iNvsBDh7weFJkBIBqg26NHBVfPNVHpR0x2iEDm8bckzLAhlAhzcQY9vVMj8-SiPDJeI3dkpIhUuzxsoHDlLXdZKtv5jpjgaipcbgo4CG2GutFQpFVSKOkN1y3fW9Q-AGoW&s=1", 
"https://www.facebook.com/realsimple/posts/10153665494893163?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 11 Comments
"https://www.facebook.com/shares/view?id=10153665494893163&av=100000246601123", 78 Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10153665494893163&av=100000246601123", 213213
"https://www.facebook.com/NBCNews/?ref=nf", 
"https://www.facebook.com/NBCNews/?fref=nf", 
"https://www.facebook.com/NBCNews/posts/1063578546995508", April 18, 2015
