Link, Anchor Text
"https://www.facebook.com/cnn/?ref=nf", 
"https://www.facebook.com/cnn/?fref=nf", 
"https://www.facebook.com/cnn/posts/10153690549651509", May 27, 2015
"http://l.facebook.com/l.php?u=http%3A%2F%2Fcnn.it%2F1JVamc5&h=GAQG0LutPAQHrd9BOBwIpN7ZiDuE86l-3KAJHlg_RTFiAIg&enc=AZM0VBw8RRlIV7PAcYuW9IjRGIZawKvEXBsQQRqpO2MHezlayzaNQRjyk6Bmkt9NohIqWvMGbxDAZgod515u7Ytbt9dbl1tD-QGqVR1G_vw35TsKHMcjVI9NN6L2jPVyIiMuF0S8iQIu24DJ_PghCcn21ifeJlRsVLTbXHIlJBRthlvIuaEJ_4NThUQI2uEqejfPgVH6u8AZRuBCAxa1sjff&s=1", http://cnn.it/1JVamc5
"http://cnn.it/1JVamc5", 
"http://l.facebook.com/l.php?u=http%3A%2F%2Fcnn.it%2F1JVamc5&h=6AQFJ3Mde&enc=AZPJJyg07qwOEf_iIu8B4ySLqDKX8zfL-aegekpUl_Hj7rU4DJyZ_WV7JoZeKFKhcfkdk30s_K1iAQm8OmGSj6xXeDbRVoGwCKZ7RTQog21RjPCmJMpP12JBSp64C7UcWnpBdcwNQKH6Xqa8nLuPkq5z6hqAdrsJwUexEQB3RqFXhyGxt8O-aLrX9hicJyi8H42P6vVEoODNBHQ9W6aicDai&s=1", Abortion rights ad campaign shocks country
"http://l.facebook.com/l.php?u=http%3A%2F%2Fcnn.it%2F1JVamc5&h=qAQHsv7ntAQFpsCevu_9KtJkK4g4m7WACs9Vs5LbETziwvw&enc=AZMN7Y9yW-riv9Vtp7RXbX4tJxdxU38ANPmRmjIDWjVuTLFDMsyXPjZizIl_052zOzDoQdNPt2_5z1w5MajKGxeTuk5aSFEp6IW2mYjVzPaH3rRzDKpaPQOT2ykfoYV2uRRp4-qDJIJ4Jqm9pmxA91RldpFKPEB4tcvTq9hS-EZ53TA_ukU76cHtI2Y5_4v9RghCAGBBsZ0C5ItGdH0oLSqd&s=1", 
"https://www.facebook.com/cnn/posts/10153690549651509?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 510 Comments
"https://www.facebook.com/shares/view?id=10153690549651509&av=100000246601123", 203 Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10153690549651509&av=100000246601123", 1.7K1.7K
"https://www.facebook.com/PlannedParenthoodAction/?ref=nf", 
"https://www.facebook.com/PlannedParenthoodAction/?fref=nf", 
"https://www.facebook.com/PlannedParenthoodAction/posts/10153459477629639", February 26
"http://bit.ly/1SObcx3", 
"http://l.facebook.com/l.php?u=http%3A%2F%2Fbit.ly%2F1SObcx3&h=CAQEytTad&enc=AZMRbc9uw1fiV4nSJg5GijzglXusc-bd-URnucWzHNfVtaeQjmCtyjKVmRKWTDHuXp51XZQk2G3_orz3tjv6QWXaVy5F011Qxw21PdqGYBAiuc0jVu40Duhprqk11ot5Hlx9TeeBtKRWg1RvG8vmN8a64yT6P3CXADq-CpW3JDirGQtWgrklG-9x6Z6QG7SD8jKIRwp1IrHFDMExbrMjsFCa&s=1", Protect Abortion Access
"http://l.facebook.com/l.php?u=http%3A%2F%2Fbit.ly%2F1SObcx3&h=RAQF99pQIAQFb_umQ03okhy71Ri8dbE3K8QI88cwuSkT9xg&enc=AZOlYQhl1Po1dafkkOcCNDA_Dd5r-H-q331jjhTQ0ckUuA_ys0hjRLd77vw1rDeQBDs5c1RdiPIxFLD5USNVT7WdDHxUIZ9oxQHiftN2ZbBSw8sDlt3bEa_ey1rVwbOHPDLmmgUnLjU4fxLn5SiOKZy27DYJzC1WcnSpsKdmmifXE9u_Zic1LfiOEV0c9laJSxh8bWc-f8hb0AFF-9EU4V4-&s=1", 
"https://www.facebook.com/PlannedParenthoodAction/posts/10153459477629639?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 33 Comments
"https://www.facebook.com/shares/view?id=10153459477629639&av=100000246601123", 101 Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10153459477629639&av=100000246601123", 1.1K1.1K
"https://www.facebook.com/theguardian/?ref=nf", 
"https://www.facebook.com/theguardian/?fref=nf", 
"https://www.facebook.com/theguardian/videos/10153856215801323/", January 6
"https://www.facebook.com/theguardian/videos/10153856215801323/?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 148 Comments
"https://www.facebook.com/shares/view?id=10153856215801323&av=100000246601123", 1K Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10153856215801323&av=100000246601123", 2.1K2.1K
"https://www.facebook.com/search/top/?q=abortion#", Share
