Link, Anchor Text
"https://www.facebook.com/privacy/explanation", Privacy
"https://www.facebook.com/help/568137493302217", Ad Choices
"https://www.facebook.com/cnn/posts/10154730365651509", 9 mins
"http://cnn.it/24gHZ0t", 
"http://l.facebook.com/l.php?u=http%3A%2F%2Fcnn.it%2F24gHZ0t&h=oAQEf9sfY&enc=AZP02Y9LamEa3qEkDBX8rEx6yXHhfBo3EqpLIhpBM-unfFLzGA2JtROQGdpYJdHzehIfuH-GPXDPxHfdRQxZUkoyfWYxBpKPUK7fPy4Lg_MBoxaN0o4J91aRWlpNBbMJJXiTmLaGrABgzBdunaUPTqbfLu7Kjnu0u6XLbQHw4Q7K2i-uVXbda3vOcdCjtPLagmYIIurLMYN919oIZtlFabrx&s=1", How Cruz and Kasich joined forces
"http://l.facebook.com/l.php?u=http%3A%2F%2Fcnn.it%2F24gHZ0t&h=dAQHGNzm8AQEiesIkxGerFBfSiglV1hhkPV4uWJaq4MDJhQ&enc=AZMrNHOLY2c1DcF0eRMgvAmC_vn3B487QNMq0HhBBYPpIT3QhH9Iq9zDsdO8DLLdp0JaTQnSfjVCZCtDMPReAhYT8wQDFn_9Ct2xbpn4jwgM6SQXs7GUNuX_NLJnO9WLKjqqeIWVUQ0Qbb3nq5S5ZiFL-aoV1HbW6wjwK3WeYXHcEKD7rTEGgtPOGsrullqNN_m899vIVtgrxFftHDGQTNE5&s=1", 
"https://www.facebook.com/cnn/posts/10154730365651509?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 42 Comments
"https://www.facebook.com/shares/view?id=10154730365651509&av=100000246601123", 2 Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10154730365651509&av=100000246601123", 121121
"https://www.facebook.com/cnnpolitics/?ref=nf", 
"https://www.facebook.com/cnnpolitics/?fref=nf", 
"https://www.facebook.com/cnnpolitics/posts/1134041159971049", 3 hrs
"http://l.facebook.com/l.php?u=http%3A%2F%2Fcnn.it%2F24gpppb&h=GAQG0LutP&enc=AZNBM1j4CPX_ZmBypQS5hj45oWOfwEBy8k3z_X1jrheheIRavdpFQWaj3w0W34oXFYalJQdfUw6xWAy0XvR0FGeKIsDN_7a9d6z9wRBx5_XUTTtjyt5hLb2LnG5uPKTvNmuUn6VRCosiBGmXvVADVsYjbZvGv2UiaW-gl-VqAsiYcWps_IZQ2Q-x256M-FmHAljRX_5VmhPTns-n8jBIDzpJ&s=1", 
"http://l.facebook.com/l.php?u=http%3A%2F%2Fcnn.it%2F24gpppb&h=DAQFf2wMm&enc=AZOFZtv93uls2JzKG05-VU9xU3HtAHu1j2PrBPpirpFmIYZJxWHJvCWmB6VJk5MeR3oDLnZxb1wk-H6ZIEE08dE5AC-SFPvGm1XSONEE9QTRrcHAS4TzgmHme1V1UMkq3YYveBGzhQUrKE9sy5sv-tLyjQ6WXvqz8HBXceClhnEDRYQER7EmRx1bPlILqv9b8yHCoI2PRwVKomDS4t16vJbV&s=1", Cruz-Kasich alliance: Will it work?
"https://www.facebook.com/mjlee.journalist/", MJ LEE
"http://l.facebook.com/l.php?u=http%3A%2F%2Fcnn.it%2F24gpppb&h=XAQFZGDN-AQGM3d7fpJ-4lsiuFWB1BN3HxOPdj1selNd0-Q&enc=AZM9boJ1hbmLISd7PM9KRJbBnoHRruEN_42ibIOYIySDbpyp0C-K9u1KK7k39V0TBmM5O-GnqAhHcQE0eRjISHOSsW1ugXU9T-NCBCmQhLG9EfbdJXDyFkw69l0RBIcI3Pf_dzaIUDNJY2eB_EQVaUGkPLLSWHTHY722yloj3jvtSLsuqzrl_ntu6-8hE258iSTnfJ1gtdsKmoy80y5qmPv4&s=1", 
"https://www.facebook.com/cnnpolitics/posts/1134041159971049?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 281 Comments
"https://www.facebook.com/shares/view?id=1134041159971049&av=100000246601123", 26 Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=1134041159971049&av=100000246601123", 185185
"https://www.facebook.com/skynews/?ref=nf", 
"https://www.facebook.com/skynews/?fref=nf", 
"https://www.facebook.com/skynews/posts/1332026806811913", 20 hrs
"http://l.facebook.com/l.php?u=http%3A%2F%2Fnews.sky.com%2Fstory%2F1684540%2Fcruz-and-kasich-join-forces-against-trump&h=DAQFf2wMm&enc=AZM5U-pmET7GxUVIhyN4AAI6umLrsjme07kiVFVPOxZlCFhUQqRoHSfIONVOu02VuIPB83bElwrskX3jvhoamyDd3fYH4zFY1akR6Max3WibPUzdijMp7zOKzFN-UiKKblJxpNw4zIA-a7ZZNdx5oXeyLez_XQfcrhoFhaOM3VG9eI8D0vliS3e2G6h86WoHLO5cqK_SXO9VXcbIMJTw0uXm&s=1", 
"http://l.facebook.com/l.php?u=http%3A%2F%2Fnews.sky.com%2Fstory%2F1684540%2Fcruz-and-kasich-join-forces-against-trump&h=bAQFv2mrB&enc=AZMuYBffbFe1cypUAcdfjjI0f5QIGl-SJJ_TNtH5FfbIbbVJ8KAQ4DHvgNzn4qypAmWSCCDl64c5HwCnpHyNKhKgX0AQfenB6Agl_xwzs_GtylzYkoFhR4mZ_7D-yP-ZsxDreWDG6gVEJV3WkQTBAEOUsawp_2yj1eFazDwyiJIlArvKHYMkVPWfHK0KZ5lVGtgj0e87ZaxpznJXwkNSAhaX&s=1", Cruz And Kasich Join Forces Against Trump
