Link, Anchor Text
"https://www.facebook.com/barackobama/?ref=nf", 
"https://www.facebook.com/barackobama/posts/10153827042001749", 5 hrs
"https://www.facebook.com/CollegePromise/", 
"https://www.facebook.com/potus/", President Obama
"https://www.facebook.com/WhiteHouse/", The White House
"https://www.facebook.com/CollegePromise/videos/1348849971814911/", 14 hrs
"https://www.facebook.com/hashtag/freecommunitycollege?source=feed_text&story_id=10153827042001749", ‪#‎FreeCommunityCollege‬
"http://l.facebook.com/l.php?u=http%3A%2F%2FHeadsUpAmerica.us%2F&h=0AQG-mXeMAQGf0BO4urXX24n4F9H8OSQsbe0GB_2dDaVsOg&enc=AZOzQ8ubWE_j2L9YrqBLgXeNpepiYBnJIKUnmZUuURJi0oBczkWx83zxOYgZxoVoXh82es0maorWstZ69OHh6c974O0HRqrZRQt7hTFh7FNdB_-uY2TGFZdLZuf8e_E2d3zrfbIXL0745_7QZZndbRJakBHRdlXcIOMvWhhlQGet9Xi2lp2xkAEdL-Qg5U0Tqzd0tcvY5wtxWFP2fRQUE5Is&s=1", http://HeadsUpAmerica.us/
"https://www.facebook.com/barackobama/posts/10153827042001749?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 207 Comments
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10153827042001749&av=100000246601123", 1.1K1.1K
"https://www.facebook.com/NYDailyNews/?ref=nf", 
"https://www.facebook.com/NYDailyNews/?fref=nf", 
"https://www.facebook.com/NYDailyNews/posts/10153432176362541", 2 hrs
"http://nydn.us/1NMcKkz", 
"http://l.facebook.com/l.php?u=http%3A%2F%2Fnydn.us%2F1NMcKkz&h=5AQEmGdM4&enc=AZN1ZQPtGgQfaTa6WdOY3iNqggcn9M5XVc_GnTZ5FvnSHwcRFsvKxeNhMxhHmtJ3fl3QSQY8FkKYvhlrgMiIRS1V7cV3-tVVzxWGeNIEZQvtsdjFtEhBqSrmEMNrIgTjWjlPhzSBRhDA6NrXoEj47Dr_UZOoNYDKPq5-kR7olb1JiI0qh0XkcKMBeLFMhA4j6fqipVWoLzbp1VtozW6UdUfq&s=1", President Obama rips Trump’s 'intolerance' again
"http://l.facebook.com/l.php?u=http%3A%2F%2Fnydn.us%2F1NMcKkz&h=1AQF5GK20AQGvTNxGf_f49VuVFt3_c4RlVJewzd1do0p09Q&enc=AZOXae_5Oc7JQ_cGRElZIDH2bW0ZjtZPbxJvQ6aah62dUSOSOTc56nsK_hG7QaDDkr4LqxgUnnTyqZx7vi4SKRZy_kwxt1OP7NAfyMwKxVjoEmwPAYZLf66Of5WGdXmEsXHKVy9OmX4k1a3E2vdawwskZM27bycaHaHIq8zMEQovhFtL08BJfno9cg6e8BThwY-qtcUW0gx0Xq5YNKJ4pKwH&s=1", 
"https://www.facebook.com/NYDailyNews/posts/10153432176362541?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 20 Comments
"https://www.facebook.com/shares/view?id=10153432176362541&av=100000246601123", 11 Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10153432176362541&av=100000246601123", 132132
"https://www.facebook.com/theguardian/?ref=nf", 
"https://www.facebook.com/theguardian/?fref=nf", 
"https://www.facebook.com/theguardian/videos/10154136350951323/", 12 hrs
"https://www.facebook.com/theguardian/videos/10154136350951323/?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 260 Comments
"https://www.facebook.com/shares/view?id=10154136350951323&av=100000246601123", 317 Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10154136350951323&av=100000246601123", 1.7K1.7K
"https://www.facebook.com/skynews/?ref=nf", 
"https://www.facebook.com/skynews/?fref=nf", 
"https://www.facebook.com/skynews/videos/1332113306803263/", 17 hrs
"https://www.facebook.com/skynews/videos/1332113306803263/?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 338 Comments
"https://www.facebook.com/shares/view?id=1332113306803263&av=100000246601123", 82 Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=1332113306803263&av=100000246601123", 617617
"https://www.facebook.com/DailyMail/?ref=nf", 
"https://www.facebook.com/DailyMail/?fref=nf", 
"https://www.facebook.com/DailyMail/posts/1302519049807840", 10 hrs
"https://www.facebook.com/barackobama/", Barack Obama
"http://l.facebook.com/l.php?u=http%3A%2F%2Fdailym.ai%2F1NLiURZ&h=MAQHIUcwZ&enc=AZPv77WYEVo9Jf9TLBTEOy-0scuLP1wFyoR-oESL28LinYr6yCt2E6K_GZgKbBkbLu8qR1x7SLLW4LNbkbKldw36Gvqvme7ujNa0fm7XGhljYTBHeZlI502-8ND9kNyYEh5-jILkygJqN9rCtjnCSHGyxm0Thp6xeXGDyvvx6k42IjxnYHH7Y6-pGM86AqxhxhViNjs83BDaUobF4LG8kFgo&s=1", 
"http://l.facebook.com/l.php?u=http%3A%2F%2Fdailym.ai%2F1NLiURZ&h=2AQFq4cda&enc=AZNk65IG9-CrRsGf3ap7ZtN4cX-g6zPDfT5VyJE6vT0mGH1pci2m9m6tMwQwXklKMdpgJ5gn5AmEyWoxslsLodPU5b_CK3464pqbrLocYMGh7_E5jjlrtlbcIitgyFp0VMsoXEZMEQNiRjYVFFrMxmBS0ZSA92UQC_Su-42NUkx6Yl8EuHs2q8ecsqCcULVKMMYd_ig3SzFdLHl13e--ZkI8&s=1", Obama arrives in Germany to lecture ANOTHER country on their best interests
"http://l.facebook.com/l.php?u=http%3A%2F%2Fdailym.ai%2F1NLiURZ&h=rAQHotjVkAQGej3dt5TCuxA_RmL_AEQ7aZRT9kY0hf8CY8g&enc=AZPDNsOGzbExE2F_vpQhys-2QCKSarnvgBLN6-rUnEq8IzrIjdE5exEpGOk7_K3sf32tAJCXhplZFrTOQuk1v_2xHsnXmKmyScUtBD5LGEREgX5KfYv2Et1YlFl5JtBkdoPvx9rh-Qd9Lrtn5yUDLXeAOitFSJyhFFEix9MxzVPmfMjsWW257K675ne47-21okvP1D9luo-jkglebYzytCet&s=1", 
"https://www.facebook.com/DailyMail/posts/1302519049807840?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 217 Comments
"https://www.facebook.com/shares/view?id=1302519049807840&av=100000246601123", 163 Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=1302519049807840&av=100000246601123", 812812
"https://www.facebook.com/search/top/?q=barack%20obama#", Share
