Link, Anchor Text
"https://www.facebook.com/cnn/?ref=nf", 
"https://www.facebook.com/cnn/?fref=nf", 
"https://www.facebook.com/cnn/videos/10154220262696509/", November 15, 2015
"https://www.facebook.com/hashtag/isis?source=feed_text&story_id=10154220262696509", ‪#‎ISIS‬
"https://www.facebook.com/hashtag/parisattacks?source=feed_text&story_id=10154220262696509", ‪#‎ParisAttacks‬
"http://cnn.it/1H3tS7C", http://cnn.it/1H3tS7C
"https://www.facebook.com/cnn/videos/10154220262696509/?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 7.1K Comments
"https://www.facebook.com/shares/view?id=10154220262696509&av=1465852484", 47K Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10154220262696509&av=1465852484", 86K86K
"https://www.facebook.com/NBCNews/?ref=nf", 
"https://www.facebook.com/NBCNews/?fref=nf", 
"https://www.facebook.com/NBCNews/posts/1345225445497482", March 25
"http://l.facebook.com/l.php?u=http%3A%2F%2Fnbcnews.to%2F1SaQzFS&h=QAQF6A74l&enc=AZPu61GiQx-psegSecdLsfvBGiUJHM4XIthuThs9lizBCcb82Ufm-2vBXzFDz8WWsGRLknXF9RsTplGz8GGcYddw-rKsHg7XO55PeOF-93ssQxOgf1H4UAe-tmZ1piN47LcF6YiMyXs0eFkgDhIZa8bsY3qcNqeNfSjW05dqH7Exxm1u6BRwxjt9CC6dh5rvswXqfXwW7AFsuN7_yJLERCAi&s=1", 
"http://l.facebook.com/l.php?u=http%3A%2F%2Fnbcnews.to%2F1SaQzFS&h=PAQFNlhmr&enc=AZOD0a-nodKGQqD4k0W-aBU3PLjP_Rn9H-b1WL94saCnWJTaPt60LFoXhHpbf2bMVAhnA0qZz1-d9T4jEc2pYVq1UwLQEkb4stBRPfNcik5vqO41gbmBc4vbMAgE1aUZLbtY8efP3jpi8GRhwFR2_V5PYff_XFgvCjDGc5YYxI8XDywUxGYvCBtKYlaLtZ960iF6_ZDKemPoHLJayRSYzXT2&s=1", ISIS' Second-in-Command Killed in Raid: Sources
"https://www.facebook.com/NBCNews/", NBC NEWS
"http://l.facebook.com/l.php?u=http%3A%2F%2Fnbcnews.to%2F1SaQzFS&h=uAQEkaITaAQH5CuHQaVX204Qn3S0i6KzZEimTBSFcTMyxxQ&enc=AZPLEDUrYIStm4Z-tI0UTRF1_bR5PyTJ2hjdtjY7C6mDKwzDZOcchHh3yX8XHDycgxJlJSrFwt8wlJ-loSuaOtzhUZ8Zb8VFZoi01JXzeq9HHeHorNjEOwNIPdZ-4iJyniFry19bCdDwUO_uYn9eneCKB0QcJVILPjBLTUbSOg_wsSyhawE0CB6xhkOg6-2cfso3tQLUrdlNBFodhcGxk6J-&s=1", 
"https://www.facebook.com/NBCNews/posts/1345225445497482?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 431 Comments
"https://www.facebook.com/shares/view?id=1345225445497482&av=1465852484", 1K Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=1345225445497482&av=1465852484", 6.6K6.6K
"https://www.facebook.com/GlennBeck/?ref=nf", 
"https://www.facebook.com/GlennBeck/", 
"https://www.facebook.com/GlennBeck/posts/10154095529938188", March 30 at 12:53pm
"https://www.facebook.com/OfficalLawrenceJones/", Lawrence Jones III
"https://www.facebook.com/OfficalLawrenceJones/videos/509912272549814/?fref=nf", Lawrence Jones III
"https://www.facebook.com/OfficalLawrenceJones/videos/509912272549814/", March 29 at 3:49pm
"https://www.facebook.com/GlennBeck/posts/10154095529938188?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 155 Comments
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10154095529938188&av=1465852484", 2.4KGlenn Beck and 2.4K others
"https://www.facebook.com/search/top/?q=isis#", Share
