Link, Anchor Text
"https://www.facebook.com/BreakingNews/?ref=nf", 
"https://www.facebook.com/BreakingNews/?fref=nf", 
"https://www.facebook.com/BreakingNews/posts/10153354044252303", 18 hrs
"https://www.facebook.com/politico/", POLITICO
"http://l.facebook.com/l.php?u=http%3A%2F%2Fwww.breakingnews.com%2Ftopic%2F2016-us-elections%2F&h=jAQFh5eUYAQFrEQQ1lK-5qFsjpatOmEaqTosp2Ykv6pW5UA&enc=AZOm6y0FaKBL9jo3QES_hbzchJITWiK0W5q2RcMAnhk-G0X-WhVuZvn5C4hmQa3SyHxaIxOL8NvUFeF_yMsYcNEK5eQBivvDxmGOZn-DK5vs5JnXwg50GfFJ6RrATQyOaV5WYHFQ2aED1q2buiRahM2zPhlomu5QvIhdrzp72lbll7_oScmr2eWLGnxCDPnliYF0v42I53uzr1kaEBaOJGB9&s=1", http://www.breakingnews.com/topic/2016-us-elections/
"http://www.politico.com/blogs/2016-gop-primary-live-updates-and-results/2016/04/ted-cruz-john-kasich-team-up-222377#ixzz46nllyBOw", 
"http://l.facebook.com/l.php?u=http%3A%2F%2Fwww.politico.com%2Fblogs%2F2016-gop-primary-live-updates-and-results%2F2016%2F04%2Fted-cruz-john-kasich-team-up-222377%23ixzz46nllyBOw&h=mAQFsznDy&enc=AZMCXXMkpUve1FZJDCNNrrAgmeSNPNjnf_ZSqPJuEIJ57kiNoeWCeZz6PCOG5QkvAlbYkar8B7Dn0WmYsXCZwZaKKOwczngmstCnNod70_ILsfNgrPXlddcpbCa46y4xuDKTkdouC5q5r48AB5zjCYW2xrIvpcGdqSsA-uxbKMdy-QzbQIr6dEBJAv1mtyxe7ZMRTMO891CUopV0zm8vQG2k&s=1", Cruz, Kasich coordinate in new anti-Trump effort
"http://l.facebook.com/l.php?u=http%3A%2F%2Fwww.politico.com%2Fblogs%2F2016-gop-primary-live-updates-and-results%2F2016%2F04%2Fted-cruz-john-kasich-team-up-222377%23ixzz46nllyBOw&h=TAQEQcpJ2AQHj6FcfyzCMih9beRGEDgprDuIzBYMyY-KUPQ&enc=AZPFZv_Ir3zXmL03MNO654wV_9CtnXRdZSTXYEEnKMbjf-CWjTyACVhyajBUQ24wcEdaLFKSJbHDsbAD_Vs5LjYez2Fmq6hJO217Wsb1HtVVYFVoX00tgQOxB1BYjf2_A5HSoGf8wmQzAeKoqCDBebUk3Rk6CmOInamCBSFO52Gj1a2fBmsfRM9k6eDzwzSBqC0zbgiO80nPmlXxT53Dr29D&s=1", 
"https://www.facebook.com/BreakingNews/posts/10153354044252303?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 84 Comments
"https://www.facebook.com/shares/view?id=10153354044252303&av=1465852484", 40 Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10153354044252303&av=1465852484", 359359
"https://www.facebook.com/KellyGoldenFanPage/?ref=nf", 
"https://www.facebook.com/KellyGoldenFanPage/?fref=nf", 
"https://www.facebook.com/KellyGoldenFanPage/posts/1345746502118501", 2 hrs
"http://l.facebook.com/l.php?u=http%3A%2F%2F943wsc.iheart.com%2Ffeatures%2Felection-2016-1077%2Farticles%2F15%2F493917%2Fcruz-kasich-agree-on-plan-to-14639178%2F&h=4AQEm-wjY&enc=AZMEO_JBsWRtERR44WATWFTYJ_8xkDYRYtB51yxg2xOKF7q9dL-AaZG8bEsw7tDOdbt7T24PEXYIrTJYWrPkfQJbErCWADS9VFO8eqzzNfqp17gEzS8EztgXJiMENqPVfC3k22za1BtvWn3Hp-yZ-bktygYgDXiduKE1Fyred_Ld32w59fJBglAhPilfbaizSxw4FwPQIeIfRwmBFJ8yaaUe&s=1", 
"http://l.facebook.com/l.php?u=http%3A%2F%2F943wsc.iheart.com%2Ffeatures%2Felection-2016-1077%2Farticles%2F15%2F493917%2Fcruz-kasich-agree-on-plan-to-14639178%2F&h=9AQH5jKmV&enc=AZPgBTtzxt26PtqbMQ2N8FRAfFCB5Q3dBQpsOReA-po_KpNDWS0vsSP6W-aSOru3Gw4Pxld5TCsTiIJ5Y5EeOcopetK0TcCgXHnoiG6j6ckIZM1z0o4EhcI44Jc-kY099Un33K6G5FVClnRFvnOJFDHc_Hh1A9Yf-36zIvBzpM9QblCXCez6W0pk974QwhRBwPKvQxHBKTRP__kaFelBJyaO&s=1", Cruz, Kasich Agree on Plan to Stop Trump | Election 2016 | News Radio 94.3 WSC
