Link, Anchor Text
"https://www.google.com/webhp?hl=en", 
"http://www.bankrate.com/finance/student-loans/families-slayed-student-loans-become-homeowners.aspx", How 3 households wiped out tons of student debt to become ...
"http://www.bankrate.com/finance/real-estate/buying-home-while-paying-student-loans-is-hard.aspx", Buying a home while paying off student loans is hard
"http://www.usnews.com/education/best-colleges/paying-for-college/articles/2016-04-25/new-student-loan-repayment-process-may-help-end-confusion", New Student Loan Repayment Process May Help End Confusion
"http://www.pbs.org/newshour/rundown/cruzs-position-on-student-loans-may-hurt-his-appeal-among-young-voters/", Cruz's position on student loans may hurt his appeal among young ...
"http://wjon.com/wjon-in-depth-degrees-of-debt-surviving-student-loans-video/", WJON In Depth - Degrees of Debt: Surviving Student Loans [VIDEO]
"http://www.prnewswire.com/news-releases/student-loan-debt-healthcare-costs-make-millennials-feel-the-bern-300257384.html", Student Loan Debt, Healthcare Costs Make Millennials "Feel the Bern"
"http://www.citizen-times.com/story/news/local/2016/04/23/ross-calls-more-help-student-loans/83386958/", Ross calls for more help on student loans
"http://www.altfi.com/article/1915_commonbond_completes_150m_securitization_of_student_loans", CommonBond Completes $150m Securitization of Student Loans
"http://www.huffingtonpost.com/richard-gaudreau/spate-of-private-student-_b_9702744.html", In Spate of National Collegiate Student Loan Trust Lawsuits One ...
"http://www.crowdfundinsider.com/2016/04/84741-brief-commonbond-completes-150m-securitization-of-student-loans-assets/", Brief: CommonBond Completes $150M Securitization of Student ...
