Link, Anchor Text
"https://www.google.com/webhp?hl=en", 
"http://www.cnn.com/2016/04/26/politics/election-2016-pennsylvania-connecticut-primary/", What to watch on Super Tuesday
"http://live.baltimoresun.com/Event/Maryland_Primary_Election_2016", Maryland Primary Election 2016 Live
"http://abcnews.go.com/Politics/april-26th-results-election-2016/story?id=37353588", April 26th Results Election 2016
"https://newrepublic.com/article/132964/four-liars-2016-election", The Four Liars of the 2016 Election
"http://www.bbc.com/news/election-us-2016-36127175", US election 2016: Cruz and Kasich team up to slow Trump
"http://wtop.com/maryland/2016/04/maryland-primary-election-day-primer-2016/", Maryland primary Election Day primer 2016
"http://m.starrfmonline.com/1.8986798", Election 2016 “a little complex” – Rawlings
"http://www.cnn.com/2016/04/25/politics/rust-belt-voters-trump-clinton-sanders/", Resetting red and blue in the Rust Belt
"http://patch.com/massachusetts/milton/milton-voter-information-town-election-2016-0", Milton Voter Information: Town Election 2016
"http://www.nbcnews.com/politics/2016-election/poll-trump-reaches-50-percent-support-nationally-first-time-n562061", Poll: Trump Reaches 50 Percent Support Nationally for the First Time
