Link, Anchor Text
"https://www.google.com/webhp?hl=en&authuser=1", 
"http://www.cnn.com/2016/04/26/politics/election-2016-pennsylvania-connecticut-primary/", What to watch on Super Tuesday
"http://www.bbc.com/news/election-us-2016-36135579", US election 2016: Trump and Clinton vie for north-east
"https://newrepublic.com/article/132964/four-liars-2016-election", The Four Liars of the 2016 Election
"http://www.haaretz.com/world-news/u-s-election-2016/1.716102", Trump's Unlikely Nemesis: The Unassuming Reince Priebus
"http://www.ibtimes.com/election-2016-polls-pennsylvania-maryland-connecticut-delaware-rhode-island-clinton-2359016", Election 2016 Polls: Before Pennsylvania, Maryland, Connecticut ...
"http://wtop.com/maryland/2016/04/maryland-primary-election-day-primer-2016/", Maryland primary Election Day primer 2016
"http://m.starrfmonline.com/1.8986798", Election 2016 “a little complex” – Rawlings
"http://patch.com/massachusetts/milton/milton-voter-information-town-election-2016-0", Milton Voter Information: Town Election 2016
"http://www.cnn.com/2016/04/25/politics/rust-belt-voters-trump-clinton-sanders/", Resetting red and blue in the Rust Belt
"http://www.newsandtribune.com/news/election-ted-cruz-talks-conservative-hoosier-values-at-borden-rally/article_5f331f7e-0b0a-11e6-8352-638297ac47f0.html", ELECTION 2016: Ted Cruz talks conservative Hoosier values at ...
